Family Species Size Temperature NPP Aridity pH
Armadillidae Synarmadillo flavus 0.740 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo globus 1.398 23.9 11.31 2.07 6.0 
Armadillidae Synarmadillo parvulus 0.477 26.7 11.63 0.65 6.0 
Armadillidae Synarmadillo schlegeli 1.097 25.2 11.72 1.82 6.0 
Armadillidae Synarmadillo taitii 0.447 25.2 11.72 1.82 6.0 
Armadillidae Togarmadillo monocellatus 0.602 25.2 11.72 1.82 6.0 
Armadillidae Troglodillo rotundatus 1.114 20.9 11.47 1.27 5.9 
Armadillidae Venezillo albus 0.724 13.1 11.70 1.63 6.0 
Armadillidae Venezillo berlandi 0.602 24.7 10.73 0.14 7.5 
Armadillidae Venezillo boninensis 0.699 14.5 11.16 1.25 6.2 
Armadillidae Venezillo dorsalis 0.949 14.9 11.70 2.08 6.0 
Armadillidae Venezillo elegans 0.820 15.3 11.56 2.08 5.7 
Armadillidae Venezillo lepidus 0.886 15.3 11.56 2.08 5.7 
Armadillidae Venezillo longispinus 0.903 15.8 11.25 1.36 6.1 
Armadillidae Venezillo russoi 0.886 13.8 11.55 1.93 6.0 
Armadillidiidae Alloschizidium campanellii 0.544 9.1 11.63 1.52 5.6 
Armadillidiidae Alloschizidium cottarellii 0.602 11.3 11.65 1.22 6.0 
Armadillidiidae Alloschizidium igiliense 0.477 14.0 11.65 0.80 6.6 
Armadillidiidae Alloschizidium pruvoti 0.903 10.7 11.51 0.91 7.2 
Armadillidiidae Alloschizidium racovitzai 0.903 10.7 11.51 0.91 7.2 
Armadillidiidae Alloschizidium remyi 0.477 9.1 11.63 1.52 5.6 
Armadillidiidae Armadillidium alassiense 1.230 10.7 11.59 0.91 6.5 
Armadillidiidae Armadillidium albanicum 1.279 11.3 11.44 1.15 7.0 
Armadillidiidae Armadillidium ameglioi 1.342 16.3 11.29 0.47 7.0 
Armadillidiidae Armadillidium apfelbecki 1.000 8.2 11.60 1.09 6.0 
Armadillidiidae Armadillidium apuanum 1.322 14.0 11.65 0.80 6.6 
Armadillidiidae Armadillidium arcadicum 1.176 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium argentarium 1.255 14.0 11.65 0.80 6.6
Armadillidiidae Armadillidium argolicum 1.301 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium artense 1.204 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium assimile 1.204 13.9 11.55 0.86 6.0 
Armadillidiidae Armadillidium atticum 1.130 14.3 11.08 0.51 7.0 
Armadillidiidae Armadillidium azerbaidzhanum 0.568 10.3 11.33 0.55 7.0 
Armadillidiidae Armadillidium badium 1.255 15.0 11.52 0.50 6.0 
Armadillidiidae Armadillidium banaticum 1.097 9.6 11.50 0.68 6.0 
Armadillidiidae Armadillidium bensei 1.255 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium bicurvatum 1.049 11.6 11.44 1.15 7.0 
Armadillidiidae Armadillidium bulgaricum 1.021 10.8 11.50 0.64 7.0 
Armadillidiidae Armadillidium carniolense 1.255 10.3 11.50 0.70 7.0 
Armadillidiidae Armadillidium clavigerum 1.332 12.7 11.59 0.98 7.0 
Armadillidiidae Armadillidium corcyraeum 1.161 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium cythereium 1.114 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium depressum 1.322 11.7 11.52 0.97 6.0 
Armadillidiidae Armadillidium elysii 0.929 10.8 11.50 0.64 7.0 
Armadillidiidae Armadillidium epiroticum 1.230 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium espanyoli 1.009 16.3 11.20 0.41 8.0 
Armadillidiidae Armadillidium etruriae 1.114 13.3 11.63 0.80 6.5 
Armadillidiidae Armadillidium euxinum 1.079 11.5 11.48 0.65 7.0 
Armadillidiidae Armadillidium fallax 1.000 20.3 11.08 0.04 8.0 
Armadillidiidae Armadillidium flavoscutatum 1.176 10.4 11.53 1.45 7.0 
Armadillidiidae Armadillidium fossuligerum 1.176 11.2 11.53 1.03 6.8 
Armadillidiidae Armadillidium frontetriangulum 1.176 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium granulatum 1.362 13.8 11.45 0.74 7.0 
Armadillidiidae Armadillidium grimmi 1.322 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium herzegowinense 1.061 8.2 11.60 0.98 5.8 
Armadillidiidae Armadillidium humectum 1.140 11.2 11.49 1.03 7.0 
Armadillidiidae Armadillidium inflatum 1.041 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium irmengardis 1.290 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium janinense 1.204 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium jonicum 1.322 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium kalamatense 1.114 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium klugii 1.279 11.3 11.45 1.14 7.0 
Armadillidiidae Armadillidium kuehnelti 1.146 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium laconicum 1.255 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium laminigerum 1.000 11.2 11.53 1.03 6.8 
Armadillidiidae Armadillidium lanzai 1.114 9.1 11.63 1.52 5.6 
Armadillidiidae Armadillidium lobocurvum 1.301 11.0 11.50 0.91 7.0 
Armadillidiidae Armadillidium maculatum 1.255 10.7 11.59 0.91 6.0 
Armadillidiidae Armadillidium maniatum 1.230 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium marmoratum 1.104 15.1 11.39 0.48 7.0 
Armadillidiidae Armadillidium messenicum 1.146 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium mohamedanicum 0.866 12.7 11.49 0.72 6.6 
Armadillidiidae Armadillidium narentanum 0.903 9.5 11.61 1.04 5.5
Armadillidiidae Armadillidium nasatum 1.196 10.6 11.53 0.96 6.0
Armadillidiidae Armadillidium obenbergeri 1.021 11.6 11.44 1.15 7.0 
Armadillidiidae Armadillidium oglasae 1.279 14.0 11.65 0.80 6.6 
Armadillidiidae Armadillidium opacum 1.041 8.0 11.44 1.09 6.0 
Armadillidiidae Armadillidium paeninsulae 1.301 14.0 11.65 0.80 6.6
Armadillidiidae Armadillidium pardoi 0.903 15.0 10.63 0.20 7.6 
Armadillidiidae Armadillidium peloponnesiacum 1.079 11.6 11.48 0.91 7.0 
Armadillidiidae Armadillidium peraccai 1.279 12.4 11.59 0.87 6.5 
Armadillidiidae Armadillidium pictum 0.954 7.8 11.42 1.15 6.0 
Armadillidiidae Armadillidium pseudassimile 1.176 14.0 11.65 0.80 6.6 
Armadillidiidae Armadillidium pseudovulgare 1.000 11.2 11.53 1.03 6.8 
Armadillidiidae Armadillidium pulchellum 0.699 8.1 11.40 0.97 6.0 
Armadillidiidae Armadillidium quinquepustulatum 1.146 10.7 11.59 0.91 7.0 
Armadillidiidae Armadillidium rhodopinum 0.845 11.1 11.48 0.55 7.0 
Armadillidiidae Armadillidium silvestrii 1.230 14.0 11.65 0.80 6.6 
Armadillidiidae Armadillidium simoni 1.279 10.7 11.59 0.91 7.0 
Armadillidiidae Armadillidium sordidum 1.301 10.7 11.59 0.92 6.5 
Armadillidiidae Armadillidium stolikanum 1.114 11.2 11.53 1.03 6.8 A
rmadillidiidae Armadillidium storkani 0.954 11.3 11.50 0.46 7.2 
Armadillidiidae Armadillidium stymphalicum 1.255 10.7 11.46 0.80 7.0 
Armadillidiidae Armadillidium teramense 1.185 13.2 11.60 0.86 7.0 
Armadillidiidae Armadillidium tirolense 1.279 12.5 11.52 0.92 7.0 
Armadillidiidae Armadillidium traiani 0.845 9.0 11.47 0.64 7.7 
Armadillidiidae Armadillidium tripolitzense 1.312 11.0 11.50 0.91 7.0 
Armadillidiidae Armadillidium tyrrhenum 1.176 14.0 11.65 0.80 6.6 
Armadillidiidae Armadillidium vallombrosae 1.290 13.2 11.59 0.86 7.0 
Armadillidiidae Armadillidium versicolor 1.000 9.9 11.49 0.73 7.0 
Armadillidiidae Armadillidium xerovunense 1.204 12.0 11.49 1.06 7.0 
Armadillidiidae Armadillidium zenckeri 1.000 8.3 11.44 0.73 6.0 
Armadillidiidae Eluma caelatum 1.204 14.2 11.45 0.68 6.5 
Armadillidiidae Paraschizidium coeculum 0.398 12.9 11.59 0.93 6.0 
Armadillidiidae Platanosphaera beieri 0.602 12.0 11.49 1.06 7.0 
Armadillidiidae Schizidium atticum 0.544 11.2 11.53 1.03 6.8 
Armadillidiidae Schizidium davidi 1.000 23.0 10.80 0.07 8.0 
Armadillidiidae Schizidium festai 1.146 15.7 11.33 0.67 7.0 
Armadillidiidae Schizidium fissum 1.146 17.5 11.32 0.55 7.0 
Armadillidiidae Schizidium hybridum 1.114 13.8 11.12 0.41 7.5 
Armadillidiidae Schizidium osellai 0.954 13.8 11.36 0.52 6.9 
Armadillidiidae Schizidium persicum 0.568 16.0 10.76 0.45 7.5 
Armadillidiidae Schizidium rausi 1.041 7.8 10.89 0.66 8.0 
Armadillidiidae Schizidium reinoehli 0.568 14.4 11.37 0.59 7.0
Armadillidiidae Schizidium tiberianum 1.130 20.1 11.45 0.42 7.0 
Armadillidiidae Typhlarmadillidium ruffoi 0.845 13.2 11.46 0.97 6.9 
Eubelidae Angaribia lobata 1.000 21.9 10.60 0.07 8.0 
Eubelidae Congethelum hauseri 0.845 24.9 11.66 0.81 5.1
Eubelidae Ethelum americanum 0.580 26.2 12.03 1.52 5.0 
Eubelidae Eubelum haasi 1.146 26.6 11.83 1.87 5.0 
Eubelidae Eubelum icarense 1.161 24.3 11.93 0.97 4.9 
Eubelidae Eubelum montanum 0.699 25.2 11.72 1.82 6.0 
Eubelidae Eubelum squamosum 0.653 23.6 11.96 1.12 5.2 
Eubelidae Eubelum tomentosum 0.813 25.0 11.85 1.19 5.0 
Eubelidae Eubelum ubangium 1.204 24.6 11.83 0.97 5.0 
Eubelidae Koweitoniscus tamei 0.778 20.4 10.74 0.10 8.0 
Eubelidae Koweitoniscus vanharteni 0.954 21.9 10.60 0.07 8.0 
Eubelidae Mesarmadillo eubeloides 1.000 26.8 11.64 0.65 6.0 
Eubelidae Mesarmadillo quadricoloratus 0.845 26.1 11.82 0.83 5.0 
Eubelidae Parelumoides marginatus 0.415 25.2 11.72 1.82 6.0 
Eubelidae Periscyphis albescens 0.978 21.0 10.67 0.03 8.0 
Eubelidae Periscyphis albus 0.699 18.8 10.42 0.05 8.0 
Eubelidae Periscyphis brunneus 0.813 22.0 11.40 0.44 6.0 
Eubelidae Periscyphis dhofarensis 1.114 26.6 10.35 0.04 8.0 
Eubelidae Periscyphis felix 0.845 23.3 10.37 0.05 8.0 
Eubelidae Periscyphis laticarpus 0.903 24.4 10.32 0.05 8.0 
Eubelidae Periscyphis minor 0.845 21.9 10.60 0.07 8.0 
Eubelidae Periscyphis omanensis 1.176 26.6 10.35 0.04 8.0 
Eubelidae Periscyphis sudanensis 0.954 27.9 11.20 0.20 8.0 
Eubelidae Periscyphops cooki 1.230 25.7 11.80 1.70 5.0 
Eubelidae Periscyphops ogonensis 0.929 26.7 11.63 0.65 6.0 
Eubelidae Periscyphops squamatus 0.875 21.9 11.72 1.26 5.3 
Eubelidae Periscyphops squamosus 0.954 21.9 11.72 1.26 5.3 
Eubelidae Periscyphops triarticulatus 1.079 26.7 11.63 0.65 6.0 
Eubelidae Saidjahus guttatus 0.954 26.7 11.77 1.50 5.0 
Porcellionidae Acaeroplastes ischianus 0.778 12.5 11.62 0.80 5.9 
Porcellionidae Acaeroplastes kosswigi 0.813 13.0 11.26 0.48 7.0 
Porcellionidae Acaeroplastes melanurus 1.079 12.5 11.51 0.82 7.0 
Porcellionidae Agabiformius lentus 0.845 17.2 11.36 0.49 7.0 
Porcellionidae Agabiformius obtusus 0.699 16.8 11.38 0.51 7.0 
Porcellionidae Agabiformius orientalis 0.845 18.2 11.30 0.42 7.0 
Porcellionidae Agabiformius pussilus 0.602 13.7 11.61 0.56 6.6 
Porcellionidae Caeroplastes porphyrivagus 1.000 12.0 11.63 0.92 6.5 
Porcellionidae Leptotrichus kosswigi 0.982 17.0 11.34 0.55 6.0 
Porcellionidae Leptotrichus mersinensis 0.903 13.7 11.26 0.68 7.0 
Porcellionidae Leptotrichus naupliensis 0.914 15.3 11.22 0.43 7.0 
Porcellionidae Leptotrichus panzerii 1.000 16.5 11.22 0.49 7.0 
Porcellionidae Leptotrichus pilosus 1.000 11.9 11.29 0.55 7.0 
Porcellionidae Leptotrichus syrensis 1.000 17.4 11.17 0.47 7.0 
Porcellionidae Lucasius pallidus 0.903 10.5 11.55 0.87 6.0 
Porcellionidae Mica tardus 0.851 17.1 11.33 0.48 8.0 
Porcellionidae Porcellio achilleionensis 1.176 11.6 11.44 1.15 7.0 
Porcellionidae Porcellio albicornis 1.021 17.4 11.34 0.42 7.5 
Porcellionidae Porcellio alluaudi 1.210 16.2 10.70 0.15 7.0 
